,Elongation,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,Martensite,Martensite_Temperature,Microstructure,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,Gas tungsten arc automatic_Current,Gas tungsten arc automatic_Electrode,Gas tungsten arc automatic_Heat input,Gas tungsten arc automatic_Interpass temperature,Gas tungsten arc automatic_Source,Gas tungsten arc automatic_Voltage,Gas metal arc automatic_Current,Gas metal arc automatic_Electrode,Gas metal arc automatic_Heat input,Gas metal arc automatic_Interpass temperature,Gas metal arc automatic_Source,Gas metal arc automatic_Voltage,Tandem submerged Arc_Current,Tandem submerged Arc_Electrode,Tandem submerged Arc_Heat input,Tandem submerged Arc_Interpass temperature,Tandem submerged Arc_Source,Tandem submerged Arc_Voltage,extr,C,Fe,Mn,P,S,Si,Ni,Cu,Cr,Mo,V,W,Co
0,35.2,Room temperature,80.6,Room temperature,456.0,Room temperature,370.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,98.993,0.65,0.012,0.008,0.3,,,,,,,
1,31.2,Room temperature,80.6,Room temperature,498.0,Room temperature,413.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,98.602,1.03,0.013999999999999999,0.006999999999999999,0.31,,,,,,,
2,,,,,,,,,40.0,Room temperature,0.0,Room temperature,28.0,Room temperature,32.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,98.602,1.03,0.013999999999999999,0.006999999999999999,0.31,,,,,,,
3,31.0,Room temperature,80.6,Room temperature,490.0,Room temperature,402.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.037000000000000005,98.602,1.03,0.013999999999999999,0.006999999999999999,0.31,,,,,,,
4,29.4,Room temperature,78.7,Room temperature,551.0,Room temperature,468.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,98.155,1.43,0.013999999999999999,0.006999999999999999,0.35,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,98.155,1.43,0.013999999999999999,0.006999999999999999,0.35,,,,,,,
6,31.6,Room temperature,78.8,Room temperature,529.0,Room temperature,436.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.044000000000000004,98.155,1.43,0.013999999999999999,0.006999999999999999,0.35,,,,,,,
7,28.0,Room temperature,76.8,Room temperature,588.0,Room temperature,514.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,250,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.752,1.85,0.016,0.006999999999999999,0.33,,,,,,,
8,,,,,,,,,60.0,Room temperature,0.0,Room temperature,17.0,Room temperature,13.0,Room temperature,,,,,,,,170,+,1.0,200.0,DC,21,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.752,1.85,0.016,0.006999999999999999,0.33,,,,,,,
9,27.4,Room temperature,76.9,Room temperature,576.0,Room temperature,479.0,Room temperature,,,,,,,,,,,,,,,,170,+,1.0,200.0,DC,21,580,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.045,97.752,1.85,0.016,0.006999999999999999,0.33,,,,,,,
