,C,Charpy,Cr,Cu,Diffusible Hydrogen,Elongation,Lateral,Mn,Mn + Ni + Cr + Mo + V,Mo,Ni,P,P S,S,S Ni,Si,Tensile,V,Yield,aws,conformances,ind,key features,requirements,typic_results,typical applications,Elongation_Temperature,Reduction of area,Reduction of area_Temperature,Ultimate tensile strength,Ultimate tensile strength_Temperature,Yield strength,Yield strength_Temperature,Acicular ferrite,Acicular ferrite_Temperature,Ferrite with carbide aggregate,Ferrite with carbide aggregate_Temperature,Ferrite with second phase,Ferrite with second phase_Temperature,Primary ferrite in microstructure,Primary ferrite in microstructure_Temperature,50% FATT,50% FATT_Temperature,Hardness,Hardness_Temperature,Manual metal arc_Current,Manual metal arc_Electrode,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Manual metal arc_Source,Manual metal arc_Voltage,Post weld heat treatment_Post weld heat treatment temperature,Post weld heat treatment_Post weld heat treatment time,Flux cored arc_Current,Flux cored arc_Electrode,Flux cored arc_Heat input,Flux cored arc_Interpass temperature,Flux cored arc_Source,Flux cored arc_Voltage,Submerged arc_Current,Submerged arc_Electrode,Submerged arc_Heat input,Submerged arc_Interpass temperature,Submerged arc_Source,Submerged arc_Voltage,extr,Fe,W,Co,A5,AWS,Ag,Al,Applications,B,Be,Category,DIN,DIN_W,HT_Temp,HT_Time,Hardness_Scale,Heat_Treated_As,IE-20,IE-40,IE-60,ISO,Mg,N,Name,Nb,Nb+Ta,Ni+Co,Other,Others,Properties,Redry_Time,Redrying_Temp,Rm,Rp0,Sn,Suitable_For,Ti,Zn,Zr,url
0,0.15,27.0,0.2,,4.0,22.0,,1.6,1.75,0.30000000000000004,,0.035,,,0.1675,0.75,490.0,0.08,400.0, E7018 H4R,"diameters-/-packaging
h4r",0.0,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.055,226.5,0.045,,2.5,31.0,,1.28,1.395,0.05,,0.015,,,0.026666666699999998,0.51,557.5,0.02,470.0, E7018 H4R,"diameters-/-packaging
h4r",1.0,"improved-coating-integrity
extreme-bendability
60%-less-moisture-pickup-vs.-competition
reduction-of-arc-starting-porosity
clear-puddle-and-a-smooth-arc",Requirements - AWS E7018 H4R,"Typical Results(3) - As-Welded
DEPOSIT COMPOSITION","power-generation-pressure-piping
petrochemical-mild-steel
pressure-vessels",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,22.0,,,,,,,,,,,490.0,,390.0, E7018-A1 H4R,,15.0,,Requirements - AWS E7018-A1 H4R,"Typical Results(3) - As-Welded
   Stress-Relieved 1 hr @ 620°C (1150°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,95.0,,,,28.5,,,,,,,,,,,575.0,,485.0, E7018-A1 H4R,,150.0,,Requirements - AWS E7018-A1 H4R,"Typical Results(3) - As-Welded
   Stress-Relieved 1 hr @ 620°C (1150°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.075,,6.0,0.005,,19.0,,0.7000000000000001,,0.15,,0.012,,0.015,,0.225,550.0,,460.0, E8018-B2 H4R,"aws-a5.5-e8018-b2-h4
%-bs-en-iso-3580-a-e-crmo1-b
bs-en-iso-3580-b-e-5516-1cm
bs-2493-1crmo-b-h
w-
din-8575-ecrmo-1-b-2-6
5-ppm)",152.0,"•-designed-for-prolonged-•-designed-for-welding-
elevated-temperatures-up-1.25%-chromium,-0.50%
to-550°c-(1022°f)-molybdenum-steels
•-refineries-where-corrosion-•-trace-elements-are-
resistance-to-sulphur-controlled-to-ensure-low
bearing-crude-oil-is-at-bruscato-(x-factor-15
250-450°c-(482-842°f)-and-wantanbe-
(j-factor-180-ppm)-fa
welding-positions----------
all",Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)","diameters-/-packaging
diameter-4.2-kg-(9.3-lb)-
easy-open-can",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,99.0,,,,25.0,,,,,,,,,,,662.5,,562.5, E8018-B2 H4R,,153.0,,Requirements - AWS E8018-B2 H4R,"Typical Results(3) - As-Welded
 Stress-Relieved 1 hr @ 690°C (1275°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,27.0,,,,24.0,,,,,,,,,,,620.0,,580.0, E9018M H4R,,155.0,,Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.075,74.5,5.0,,,30.5,,0.75,,0.55,0.4,0.025,,0.025,,0.8,662.5,,580.0, E9018M H4R,"typical-applications-------------
•-piping
•-steam-generating-power-plant
•-pressure-vessels
•-oil-refineries",156.0,"•-moisture-resistant-coating-provides-low-amounts-of-weld
metal-hydrogen-levels-for-a-superior-weld
•-designed-for-high-strength-and-improved-corrosion-resist
with-hot-hydrogen-gas,-super-heated-steam,-and-sulphur
crude-oils
welding-positions------------
all,-except-vertical-down",Requirements - AWS E9018M H4R,Typical Results(3)  - As-Welded,"conformances
d-aws-5.5-e8015-b6
bs-en-iso-3580-a-e-crmo5-b-3-2-h5
tance-
bs-en-iso-3580-b-e-6216-5cm
r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,20.0,,,,19.0,,,,,,,,,,,550.0,,460.0, E8018-C1 H4R,,158.0,,Requirements - AWS E8018-C1 H4R,"Typical Results(3) 
 Stress-Relieved 1 hr @ 610°C (1125°F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.2,104.0,0.30000000000000004,,,28.0,,1.2,,0.5,1.0,0.03,,,,0.6000000000000001,590.0,0.1,492.5, E8018-C1 H4R,"typical-applications
(cid:23)(cid:3)root-pass-welding-of-up-to-x80-grade-pipe
(cid:23)(cid:3)hot,-fill-and-cap-pass-of-up-to-x70-grade-pipe",159.0,"(cid:23)(cid:3)high-productivity-in-vertical-down-and-
out-of-position-pipe-welding-
(cid:23)(cid:3)deep-penetration-
(cid:23)(cid:3)q2-lot®-certificate-showing-actual-deposit-
chemistry-available-online-
(cid:23)(cid:3)clean,-visible-weld-puddle-
(cid:23)(cid:3)superior-puddle-control
welding-positions
all",Requirements - AWS E8018-C1 H4R,"Typical Results(3) 
 Stress-Relieved 1 hr @ 610°C (1125°F)",diameters-/-packaging,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
