,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu
0,,,,,,,,HRC,,,,,,,,,,,,
1,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,
2,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,
3,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,
4,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
5,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
6,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
7,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
8,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
9,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
10,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
11,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
12,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
13,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
14,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
15,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
16,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
17,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15
