,Category,Charpy,DIN_W,Elongation,HT_Temp,Hardness_Scale,IE-20,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Nb+Ta,Ni+Co,Others,Redry_Time,Reduction of area,Rp0,Tensile,Ultimate tensile strength,Yield,Yield strength,extr,ind,elements
0,0.0,27.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,400.0,0.0,0.0,0.0,"['C', 'Cr', 'Mn', 'Mo', 'P', 'Si', 'V']"
1,0.0,226.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.5,0.0,470.0,0.0,0.0,1.0,"['C', 'Cr', 'Mn', 'Mo', 'P', 'Si', 'V']"
10,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,510.0,0.0,0.0,161.0,[]
100,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,460.0,0.0,0.0,289.0,"['C', 'Mn', 'Mo', 'P', 'S', 'Si']"
1000,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,560.0,0.0,484.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1001,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,563.0,0.0,471.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1002,0.0,0.0,0.0,27.6,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,578.0,0.0,502.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1003,0.0,0.0,0.0,29.8,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.9,0.0,0.0,548.0,0.0,462.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1004,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,566.0,0.0,488.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1005,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,78.8,0.0,0.0,549.0,0.0,453.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1006,0.0,0.0,0.0,27.6,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,586.0,0.0,504.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1007,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.9,0.0,0.0,572.0,0.0,482.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1008,0.0,0.0,0.0,28.6,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,593.0,0.0,513.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1009,0.0,0.0,0.0,28.6,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,607.0,0.0,499.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
101,0.0,64.5,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,600.0,0.0,0.0,28.0,[]
1010,0.0,0.0,0.0,27.4,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,647.0,0.0,568.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1011,0.0,0.0,0.0,24.2,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,673.0,0.0,583.0,1.0,0.0,"['C', 'Cu', 'Fe', 'Mn', 'P', 'S', 'Si']"
1012,0.0,0.0,0.0,29.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,527.0,0.0,431.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1016,0.0,0.0,0.0,27.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,72.9,0.0,0.0,542.0,0.0,444.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
102,0.0,99.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.5,0.0,562.5,0.0,0.0,290.0,[]
1020,0.0,0.0,0.0,24.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,527.0,0.0,437.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1024,0.0,0.0,0.0,25.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,538.0,0.0,437.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1028,0.0,0.0,0.0,24.4,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,545.0,0.0,469.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
103,0.0,20.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,460.0,0.0,0.0,292.0,[]
1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1032,0.0,0.0,0.0,26.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,551.0,0.0,466.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1036,0.0,0.0,0.0,32.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,529.0,0.0,468.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
104,0.0,104.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,492.5,0.0,0.0,293.0,"['Cr', 'Mn', 'Mo', 'Ni', 'P', 'S', 'Si', 'V']"
1040,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,540.0,0.0,478.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1044,0.0,0.0,0.0,31.4,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,79.8,0.0,0.0,549.0,0.0,485.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1048,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,564.0,0.0,491.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
105,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,510.0,0.0,0.0,295.0,[]
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1052,0.0,0.0,0.0,25.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,560.0,0.0,485.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1056,0.0,0.0,0.0,29.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,570.0,0.0,491.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
106,0.0,122.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5,0.0,547.5,0.0,0.0,296.0,"['Cr', 'Cu', 'Mn', 'Mo', 'P', 'Si', 'V']"
1060,0.0,0.0,0.0,29.4,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,79.8,0.0,0.0,547.0,0.0,484.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1063,0.0,0.0,0.0,32.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,81.6,0.0,0.0,514.0,0.0,442.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1066,0.0,0.0,0.0,30.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,81.4,0.0,0.0,545.0,0.0,481.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1069,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,80.7,0.0,0.0,540.0,0.0,474.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
107,0.0,122.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.5,0.0,547.5,0.0,0.0,296.0,"['C', 'Cr', 'Cu', 'Mn', 'Mo', 'P', 'Si', 'V']"
1070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1072,0.0,0.0,0.0,27.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,533.0,0.0,466.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1075,0.0,0.0,0.0,26.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,555.0,0.0,486.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1078,0.0,0.0,0.0,26.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,555.0,0.0,502.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
108,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,0.0,530.0,0.0,0.0,298.0,[]
1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1082,0.0,0.0,0.0,30.7,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,78.9,0.0,0.0,535.0,0.0,452.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1086,0.0,0.0,0.0,29.2,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,522.0,0.0,467.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
109,0.0,64.5,0.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710.0,0.0,600.0,0.0,0.0,299.0,"['C', 'Cr', 'Mn', 'Mo', 'Ni', 'P', 'Si', 'V']"
1090,0.0,0.0,0.0,23.6,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,570.0,0.0,514.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1094,0.0,0.0,0.0,24.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,580.0,0.0,522.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"['C', 'Fe', 'Mn', 'P', 'S', 'Si']"
