,Elong %,Hydrogen Ml/100gm,Moisture,YS(Kgf/mm2),UTS,Hardness,Ferrite (Fn),Hardness_Scale,V,C,Cr,Mn,Mo,Ni,P ,S ,Si ,Cb,UTS(Kg/mm2),Cu,Category,Elongation
0,,,,,,,,HRC,,,,,,,,,,,,,7018.0,
1,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,,7018.0,11.0
2,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,,7018.0,11.0
3,11.0,5.0,0.3,200.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,,550.0,,7018.0,11.0
4,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
5,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
6,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
7,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
8,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
9,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
10,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
11,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
12,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
13,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
14,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
15,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
16,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
17,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
18,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
19,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
20,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
21,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
22,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
23,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
24,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
25,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
26,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
27,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
28,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
29,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
30,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
31,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
32,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
33,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
34,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
35,11.0,5.0,0.3,210.0,,,,HRC,0.025,0.075,0.1,0.8,0.1,0.15,0.0175,0.0175,0.375,0.025,570.0,0.15,7018.0,11.0
