,Category,Charpy,DIN_W,Elongation,HT_Temp,Hardness_Scale,IE-20,Manual metal arc_Heat input,Manual metal arc_Interpass temperature,Redry_Time,Reduction of area,Rp0,Tensile,Ultimate tensile strength,Yield,Yield strength,Ag,Al,B,Be,C,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Rm,S,Si,Sn,Ti,V,W,Zn,Zr
0,0.0,27.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,400.0,0.0,,,,,0.15,,0.2,,,,1.6,0.30000000000000004,,,,0.035,,,0.75,,,0.08,,,
1,0.0,226.5,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.5,0.0,470.0,0.0,,,,,0.055,,0.045,,,,1.28,0.05,,,,0.015,,,0.51,,,0.02,,,
10,0.0,27.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,510.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,460.0,0.0,,,,,0.12,,,,,,0.6000000000000001,0.525,,,,0.03,,0.03,0.4,,,,,,
1000,0.0,0.0,0.0,26.0,0.0,0.0,0.0,1.0,150.0,0.0,78.8,0.0,0.0,560.0,0.0,484.0,,,,,0.074,,,0.02,98.017,,1.51,,,,,0.011,,0.008,0.36,,,,,,
1001,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,150.0,0.0,77.0,0.0,0.0,563.0,0.0,471.0,,,,,0.074,,,0.02,98.017,,1.51,,,,,0.011,,0.008,0.36,,,,,,
1002,0.0,0.0,0.0,27.6,0.0,0.0,0.0,1.0,150.0,0.0,77.0,0.0,0.0,578.0,0.0,502.0,,,,,0.075,,,0.11,97.962,,1.48,,,,,0.006,,0.007,0.36,,,,,,
1003,0.0,0.0,0.0,29.8,0.0,0.0,0.0,1.0,150.0,0.0,77.9,0.0,0.0,548.0,0.0,462.0,,,,,0.075,,,0.11,97.962,,1.48,,,,,0.006,,0.007,0.36,,,,,,
1004,0.0,0.0,0.0,28.2,0.0,0.0,0.0,1.0,150.0,0.0,77.0,0.0,0.0,566.0,0.0,488.0,,,,,0.074,,,0.19,97.981,,1.42,,,,,0.007,,0.008,0.32,,,,,,
1005,0.0,0.0,0.0,31.2,0.0,0.0,0.0,1.0,150.0,0.0,78.8,0.0,0.0,549.0,0.0,453.0,,,,,0.074,,,0.19,97.981,,1.42,,,,,0.007,,0.008,0.32,,,,,,
