,Cu,Mn,Other,Si,C,Cr,Mo,Ni,P,S,V,N,Fe,Nb,Ti,W,Nb+Ta,B,Al,Co,Zn,Zr,Mg,Be,Ag,Sn,Ni+Co
0,bal,0.75-0.95,0.50,2.80-2.95,,,,,,,,,,,,,,,,,,,,,,,
1,,0.7,,0.5,0.4,17,1.1,0.5,,,,,,,,,,,,,,,,,,,
2,,0.65,,0.45,0.08,,,,,,,,,,,,,,,,,,,,,,
3,,1.90,,0.50,0.09,,0.40,,0.025,0.020,,,,,,,,,,,,,,,,,
4,,1.30,,0.35,0.05,0.35,0.33,2.0,0.025,0.025,,,,,,,,,,,,,,,,,
5,,1.40-1.60,,0.30-0.45,0.045-0.075,0.30-0.40,0.30-0.40,1.90-2.20,0.025,0.025,0.25,,,,,,,,,,,,,,,,
6,,1.60,,0.40,0.06,0.75,0.60,2.40,,,,,,,,,,,,,,,,,,,
7,,1.65,,0.50,0.07,0.90,0.85,2.60,,,,,,,,,,,,,,,,,,,
8,,1.60,,0.5,0.025,23.0,3.0,9.0,,,,0.14,,,,,,,,,,,,,,,
9,,1.60,,0.5,0.025,23.0,3.0,9.0,,,,0.14,,,,,,,,,,,,,,,
10,,1.7,,1.1,0.45,25-27,,34-36,,,,,Rem,1.2-1.5,,,,,,,,,,,,,
11,,0.9-1.1,,0.9,0.3-0.5,25-27,,34-36,,,,,Rem,1.2-1.5,0.09,,,,,,,,,,,,
12,,1.2,,0.6,0.025,25,3.7,9,,,,0.2,,,,0.4,,,,,,,,,,,
13,,1.2,,0.6,0.025,25,3.7,9,,,,0.2,,,,0.4,,,,,,,,,,,
14,,6.5,,0.6-1.0,0.12,18.5,,8.5,0.025,0.025,,,,,,,,,,,,,,,,,
15,,6.5,,1.0,0.12,18.5,,8.5,,,,,,,,,,,,,,,,,,,
16,,1.0-2.5,,0.3-0.65,0.03,19.5-22.0,0.75,9.0-11.0,0.03,0.03,,,,,,,,,,,,,,,,,
17,,1.0-2.5,,0.65-1.0,0.03,19.5-22.0,0.75,9.0-11.0,0.03,0.03,,,,,,,,,,,,,,,,,
18,,1.0-2.5,,0.65-1.0,0.03,19.5-22.0,0.75,9.0-11.0,0.03,0.03,,,,,,,,,,,,,,,,,
19,0.75,1.0-2.5,,0.30-0.65,0.04-0.08,19.5-22.0,0.50,9.0-11.0,0.03,0.03,,,,,,,,,,,,,,,,,
