,"C(Min,Max)%","Cr(Min,Max)%",Elong %,Hydrogen Ml/100gm,"Mn(Min,Max)%","Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%","S (Min,Max)%","Si (Min,Max)%","UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",UTS,Hardness,Ferrite (Fn),Hardness_Scale
0,,,,,,,,,,,,,,,,,,,,HRC
1,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,550.0,0.025,200.0,,,,,,HRC
2,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,550.0,0.025,200.0,,,,,,HRC
3,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,550.0,0.025,200.0,,,,,,HRC
4,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
5,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
6,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
7,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
8,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
9,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
10,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
11,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
12,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
13,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
14,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
15,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
16,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
17,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
18,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
19,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
20,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
21,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
22,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
23,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
24,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
25,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
26,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
27,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
28,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
29,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
30,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
31,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
32,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
33,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
34,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
35,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
36,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
37,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
38,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
39,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
40,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
41,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
42,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
43,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
44,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
45,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
46,0.075,0.1,11.0,5.0,0.8,0.1,0.3,0.15,0.0175,0.0175,0.375,570.0,0.025,210.0,0.025,0.15,,,,HRC
47,0.06,0.1,13.0,,0.8,0.15,,0.15,0.0175,0.0175,0.375,255.0,0.15,175.0,,,,,,HRC
48,0.06,0.1,13.0,,0.8,0.15,,0.15,0.0175,0.0175,0.375,255.0,0.15,175.0,,,,,,HRC
49,0.06,0.1,13.0,,0.8,0.15,,0.15,0.0175,0.0175,0.375,255.0,0.15,175.0,,,,,,HRC
50,0.1,0.1,22.0,,0.6,0.15,,0.15,,,0.5,215.0,,165.0,,,,,,HRC
