iter	RMSE
0	3596.077769
1	3485.801942
2	3380.639949
3	3253.53265
4	3136.679226
5	3018.916453
6	2905.634835
7	2796.621134
8	2691.740297
9	2590.804461
10	2514.224346
11	2440.442822
12	2348.950382
13	2260.909113
14	2176.13682
15	2094.605658
16	2034.722515
17	1977.497543
18	1907.546559
19	1836.102687
20	1785.606672
21	1718.743584
22	1654.366136
23	1592.416964
24	1549.6896
25	1509.014695
26	1452.53629
27	1415.031539
28	1333.015367
29	1283.155064
30	1242.229048
31	1195.841165
32	1165.291948
33	1121.756449
34	1093.88309
35	1053.069699
36	1013.789856
37	975.9924357
38	952.4126557
39	916.9356591
40	895.3656793
41	861.9573585
42	832.4644445
43	813.5640173
44	795.6312016
45	768.2347699
46	739.6391853
47	723.9465891
48	697.0791659
49	682.85374
50	657.5262003
51	644.5729018
52	620.7063909
53	584.0151415
54	564.8974792
55	544.096284
56	524.0807748
57	514.2203611
58	504.9814048
59	486.2899634
60	477.9019078
61	460.4303651
62	443.5985087
63	427.4088596
64	414.2042996
65	399.2225203
66	392.7241403
67	378.5366645
68	372.6306441
69	359.2134401
70	346.1749063
71	341.0637091
72	328.8626658
73	324.2432008
74	319.910167
75	315.8449652
76	304.5052743
77	300.8332381
78	290.1935252
79	286.8743726
80	276.7318038
81	267.0328323
82	257.7087666
83	248.5211738
84	239.9231144
85	231.6743551
86	223.5273043
87	221.1419942
88	213.5607935
89	211.4482301
90	209.4848686
91	202.3821479
92	200.6152413
93	193.9211385
94	188.9343418
95	187.30456
96	181.0921501
97	175.0206467
98	169.3583786
99	163.9586542
