iter	Passed	Remaining
0	48	4819
1	51	2544
2	54	1762
3	56	1366
4	59	1125
5	61	958
6	62	833
7	64	743
8	66	674
9	68	620
10	71	574
11	72	533
12	74	498
13	76	470
14	77	441
15	79	419
16	82	400
17	84	384
18	86	370
19	88	354
20	91	343
21	93	332
22	96	321
23	97	308
24	99	297
25	101	288
26	102	277
27	103	266
28	105	258
29	107	249
30	108	242
31	110	234
32	110	224
33	111	217
34	113	210
35	113	202
36	114	194
37	115	188
38	116	182
39	117	176
40	118	170
41	119	165
42	121	160
43	121	155
44	123	150
45	124	146
46	125	141
47	127	137
48	127	132
49	129	129
50	130	125
51	130	120
52	132	117
53	132	112
54	133	108
55	133	105
56	134	101
57	135	98
58	136	94
59	136	91
60	137	88
61	138	84
62	139	81
63	139	78
64	140	75
65	142	73
66	142	70
67	144	67
68	145	65
69	146	62
70	147	60
71	148	57
72	149	55
73	149	52
74	150	50
75	152	48
76	153	45
77	154	43
78	155	41
79	156	39
80	157	36
81	158	34
82	159	32
83	160	30
84	161	28
85	162	26
86	163	24
87	164	22
88	165	20
89	166	18
90	167	16
91	168	14
92	169	12
93	170	10
94	171	9
95	171	7
96	172	5
97	173	3
98	174	1
99	176	0
