,Item Brand,Item Name,Item Type,Special Category,"C(Min,Max)%",CVN Impact,CVN Temp C,"Cr(Min,Max)%",Elong %,Fillet Weld Test,Hydrogen Ml/100gm,"Mn(Min,Max)%",Mn+Cr+Ni+Mo+V,"Mo(Min,Max)%",Moisture,"Ni(Min,Max)%","P (Min,Max)%",Radiography,"S (Min,Max)%","Si (Min,Max)%",Test Condition1,Test Condition2 - EN,"UTS(Kg/mm2)(Min,Max%","V(Min ,Max%)",YS(Kgf/mm2),"Cb(Min,Max)%","Cu(Min, Max)",Test Cond as Per,CVN Impact - EN,CVN Temp C - EN,Special Prop.,"Fe(Min,Max)%","Nb(Min,Max)",Ti (Min Max%),UTS,CVN Avg.,"Al(Min, Max)%",PWHT,"Zr (Min, Max%)","N (Min,Max)%","Cb (Min,Max%)`",FG Batch,"Co(Min,Max)%","Nickel(Min,Max%)",Other Elements Total,"W(Min, Max) %",Physical Appearance,Elong % I,"Nb(Min,Max)%","PB(Min, Max)%",Hardness,Special Prop 1,Special Prop 2,Special Prop 3,W,Hardness ParmeterI,Special Prop 4,Special Prop 6,Special Prop 7,Special Prop 5,Special Prop 8,"Boron (Min,Max%)","NB+TA(Min,Max%)",Sn,Hardness Parmeter,BaCo3,"UTS(MPa)(Min,Max%)",YS MPa,Elong % - EN,PWHT - EN,"UTS(Kg/mm2)(Min,Max%-EN",YS(Kgf/mm2)-EN,"APP.DENSITY(MIN,MAX)",Cobalt,Flow Rate (Hall),Mesh Size(BS),As,Sb,Bend Test,"IR (Min,Max)%","Lead (Min,Max)",Ferrite (Fn),"TI(Min,Max%)"
0,    ALPHA 7018,ALPHA 7018 2.50 X 350 (4KG),U2 - Electrodes - MS,7018.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,    ALPHA 7018,ALPHA 7018 2.50 X 350 (4KG),U2 - Electrodes - MS,7018.0,"        0.000,        0.150",27 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      490.000,      610.000","        0.000,        0.050","      400.000,        0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,    ALPHA 7018,ALPHA 7018 3.20 X 450 (5KG),U2 - Electrodes - MS,7018.0,"        0.000,        0.150",27 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      490.000,      610.000","        0.000,        0.050","      400.000,        0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,    ALPHA 7018,ALPHA 7018 4.00 X 450 (5KG),U2 - Electrodes - MS,7018.0,"        0.000,        0.150",27 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      490.000,      610.000","        0.000,        0.050","      400.000,        0.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,    Supratherme,SUPRATHERME 2.50 X 350 (3.5KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,    Supratherme,SUPRATHERME 2.50 X 350(150PCS),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,    Supratherme,SUPRATHERME 2.50 X 350(2KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,    Supratherme,SUPRATHERME 2.50 X 350(4KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,    Supratherme,SUPRATHERME 3.15 X 350 (100),Non Moving Finished Goods,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,    Supratherme,SUPRATHERME 3.15 X 350 (4KG),U1 and U2 - Electrodes - MS Common,7018.0,"        0.000,        0.150",47 Joules,-30.0,"        0.000,        0.200","       22.000,        0.000",   Satisfactory,5.0,"        0.00,        1.60", Mn+Cr+Ni+Mo+V :  Mn+Cr+Ni+Mo+V : < 1.75%,"        0.000,        0.200","        0.000,        0.600","        0.000,        0.300","        0.000,        0.035",Satisfactory,"        0.000,        0.035","        0.000,        0.750", AWS/SFA-5.1 : E 7018,EN ISO 2560-A E 42 3 B 3 2,"      500.000,      640.000","        0.000,        0.050","      420.000,        0.000","        0.000,        0.050","        0.000,        0.300",IS:814-2004 EB 5426 H3JX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
